연번,과정명,기수,구분,주제,기획설명,활용데이터,활용기술,깃허브 주소
360,SK네트웍스 Family AI 캠프,15,최종프로젝트,"특허 청구항, 거절결정서, 법령·심사기준을 통합해 특허 등록 가능성을 자동 분석하고 유사 특허 및 거절 근거 리포트를 제공하는 AI 어시스턴트 구축 프로젝트","이 프로젝트는 흩어진 특허·법령 데이터를 한 곳에 모으고, 전문가가 아니면 이해하기 어려운 거절 사유와 법적 근거를 AI가 판별·요약하는 것을 해결 과제로 삼는다. 사용자가 특허 청구항이나 키워드·문장을 입력하면 FAISS 기반 유사 특허 검색, Qwen 기반 LLM의 등록/거절 예측, 거절 사유·관련 조문·개선 방향 리포트 생성을 제공한다. 목표는 특허 검토 전 과정을 돕는 사내 AI 허브인 ‘TtalKkak AI’를 구축하는 것이다.","KIPRIS 공개 특허/거절 데이터, AI Hub 및 공공데이터포털 법령 데이터, arXiv 공개 논문 메타/전문 데이터","Python, JavaScript, Django REST Framework, React, FastAPI, sentence-transformers, FAISS, Qwen2.5-7B/14B, LoRA, QLoRA, PyTorch, Transformers, PEFT, multilingual-e5-base, MySQL, CSV, JSONL, Docker, RunPod, GitHub, dotenv, HuggingFace Hub, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN15-FINAL-3TEAM
361,SK네트웍스 Family AI 캠프,15,최종프로젝트,"사용자 요구사항 텍스트와 방 이미지를 기반으로 인테리어 시안 생성, 빈 방 생성, 한샘 가구 추천을 자동화하는 AI 기반 인테리어 생성·추천 플랫폼입니다.","ASSEMBLE은 이미지 기반 상담의 어려움, 모호한 요구사항 해석, 디자이너의 초기 시안 제작 부담, 반복적인 가구 추천 작업을 자동화하기 위해 기획되었습니다. 방 이미지 분류, OpenAI Image Edit 기반 Object Removal, SLLM 기반 설명·프롬프트·가구 목록 생성, 요구사항 기반 이미지 재생성, 한샘 가구 가격·URL 수집 기능을 제공합니다. 프로젝트의 방향성은 AI가 초안을 만들고 디자이너가 완성하는 방식으로 초기 시안 제작 시간을 단축하고 품질 일관성을 확보하는 것입니다.",한샘 웹 스크래핑 가구 가격·URL 데이터,"Next.js, React, TailwindCSS, AWS Amplify, FastAPI, LangChain, LangGraph, OpenAI, OpenAI Image Edit, gpt-image-1, PyTorch, AWS, Docker, PostgreSQL, pgvector, RunPod, NanoBanana, Stable Diffusion, FLUX, Selenium, BeautifulSoup, Pandas, Django, AWS EC2, AWS S3, AWS RDS",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN15-FINAL-4TEAM
362,SK네트웍스 Family AI 캠프,15,최종프로젝트,귀멸의 칼날 세계관을 배경으로 사용자가 AI 캐릭터와 대화하며 시나리오를 진행하는 LLM 기반 인터랙티브 스토리텔링 플랫폼 개발 프로젝트,"이 프로젝트는 사용자가 AI 캐릭터와 대화하는 과정에서 자연스러운 응답, 시나리오 분기, 장기 기억 유지가 필요한 문제를 다룹니다. 핵심 기능은 Beat 기반 동적 시나리오 엔진, Graph RAG를 통한 엔티티 및 관계 그래프 구축, 하이브리드 Auto-labeling 품질 평가, 10턴 단위 대화 요약 및 임베딩 저장, JWT 기반 인증입니다. 프로젝트는 FastAPI 백엔드와 React 프론트엔드를 AWS 인프라에 통합하여 LLM 기반 대화형 AI 게임 시스템을 구현하는 방향으로 진행되었습니다.",,"FastAPI, PostgreSQL 15, pgvector, Redis, LangGraph, OpenAI API, React 18, TypeScript, Vite, Axios, AWS EC2, AWS RDS, AWS ElastiCache, AWS S3, AWS ALB, Docker, JWT, bcrypt, Gmail SMTP, CloudFront",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN15-FINAL-5TEAM
363,SK네트웍스 Family AI 캠프,16,교과목실습1,경유차 조기폐차·전기차 보조금 정책 영향 분석,배출가스 등급제·조기폐차와 전기차 보조금 정책에 따른 시도별 경유차 감소와 전기차·충전기 증가 추이를 비교 분석하는 데이터 조회 프로그램.,"전국 자동차 등록 현황 공공데이터, 전기차 충전소 현황 데이터(웹 크롤링)","Python, Streamlit, MySQL, 웹 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-1st-1Team
364,SK네트웍스 Family AI 캠프,16,교과목실습1,자동차 등록현황 분석 + 브랜드 FAQ 시스템,전국 자동차 등록 현황을 시각화하고 기아·현대·제네시스 FAQ를 함께 제공하는 시스템. 등록 통계와 브랜드 FAQ를 한 화면에서 조회.,"국토교통부 통계누리 자동차 등록 통계(2022.01~2025.05, 약 12,000건), 현대·기아·제네시스 FAQ(Selenium 크롤링)","Python, Streamlit, Selenium, MySQL, 지도 시각화",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-1st-2Team
365,SK네트웍스 Family AI 캠프,16,교과목실습1,지역별 전기차 수용성 평가 시스템,전기차 등록 대수와 충전소 수의 상관관계를 분석해 지역별 전기차 수용 능력을 객관적으로 평가하는 시스템.,"전국 전기차 등록 현황(차지인포), 공공데이터포털 충전소 현황","Python, Streamlit, MySQL, SQL/CSV",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-1st-3Team
366,SK네트웍스 Family AI 캠프,16,교과목실습1,전기차 충전소 현황 분석 대시보드,전기차 보급과 충전 인프라 현황·변화 추이 및 상관관계를 분석하는 데이터 대시보드.,전기차 등록 및 충전소 현황 공공데이터,"Python, Streamlit, MySQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-1st-4Team
367,SK네트웍스 Family AI 캠프,16,교과목실습1,연료비 변화에 따른 자동차 유형 등록 추이 분석 + FAQ,유가 변화에 따른 연료별 자동차 등록 추이를 시각화하고 대표 자동차 기업 FAQ를 제공하는 시스템(2020.01~2025.05).,"연료별 자동차 등록 통계(2020.01~2025.05), 유가 정보, 자동차 기업 FAQ(웹 크롤링)","Python, Streamlit, MySQL, 웹 크롤링",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-1st-5Team
368,SK네트웍스 Family AI 캠프,16,교과목실습2,2023년 시군구 흡연율 예측,2020~2022년 지자체별 인구·보건·경제 지표로 2023년 시군구별 흡연율을 머신러닝/딥러닝으로 예측해 금연 정책 수립을 지원.,지자체별 인구·보건·경제 지표 공공 통계데이터(2020~2022),"Python, Pandas, scikit-learn, 딥러닝, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-2nd-1Team
369,SK네트웍스 Family AI 캠프,16,교과목실습2,멕시코 중고등학생 학업 중퇴 예측,학생의 학업·생활 데이터를 기반으로 학교 중퇴 가능성을 예측하는 ML/DL 모델을 개발해 조기 개입·맞춤 상담을 지원.,"멕시코 학생 학업 중퇴 공개 데이터셋(약 10,602행·54열) + 일부 가상 데이터 생성","Python, Pandas, scikit-learn, 딥러닝, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-2nd-2Team
370,SK네트웍스 Family AI 캠프,16,교과목실습2,직장인 이직·퇴사(HR) 예측,기업 HR 데이터로 직원의 이직·퇴사 가능성을 머신러닝/딥러닝으로 예측하는 프로젝트.,기업 HR 공개 데이터셋(직원 성과·생산성·인구통계),"Python, Pandas, scikit-learn, 딥러닝",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-2nd-3Team
371,SK네트웍스 Family AI 캠프,16,교과목실습2,카페 폐업률 분석·예측 AI 모델,카페 운영·경제 지표 데이터를 통합 분석해 카페 폐업률을 예측하는 머신러닝 모델과 대시보드.,"행정안전부 지방행정 인허가 카페 데이터(15,959건), 경기데이터드림 카드소비(2016-2024), 국가통계포털 최저임금(2016-2025), 부동산통계 임대료(2016-2024)","Python, Pandas, scikit-learn, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-2nd-4Team
372,SK네트웍스 Family AI 캠프,16,교과목실습2,당원 이탈 예측 (실습),가상의 당원 데이터를 활용해 이탈 여부를 예측하며 데이터 분석·모델링 전 과정을 실습한 프로젝트.,해당 없음(가상 합성 데이터 사용),"Python, Pandas, scikit-learn, 딥러닝, Streamlit",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-2nd-5Team
373,SK네트웍스 Family AI 캠프,16,교과목실습3,LLM 강의 검색 Help RAG Agent,LLM 강의 자료(노트북·PDF)를 임베딩해 QA·코드검색·강의요약·회고 생성을 제공하는 고도화 RAG 시스템.,해당 없음(내부 LLM 강의 자료 PDF·노트북 활용),"Python, LangChain, ChromaDB, OpenAI API, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-3st-1Team
374,SK네트웍스 Family AI 캠프,16,교과목실습3,CrossFit RAG LLM 통합 코칭 시스템,CrossFit 교육 자료를 임베딩해 자연어 QA·맞춤 WOD 추천·영상 코칭을 제공하는 관리형 웹 서비스.,크로스핏 공개 교육·자료집 PDF(수집) — 출처 명시 불명확,"Python, OpenAI GPT-4o-mini, LangChain, ChromaDB, SQLite, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-3st-2Team
375,SK네트웍스 Family AI 캠프,16,교과목실습3,교통사고 법률 상담 챗봇 '챗문철',교통사고 발생 시 법률 상담을 제공하는 RAG 챗봇. 관련 법률·판례를 검색해 상담 답변을 생성.,"교통사고 관련 법령·적용 법률 조항, 대법원 판례 데이터(공개)","Python, LangChain, RAG, 벡터DB, SQLite, OpenAI",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-3st-3Team
376,SK네트웍스 Family AI 캠프,16,교과목실습3,논문 탐색·질의응답 서비스 (PaperSeek),논문 데이터를 활용해 RAG+웹검색 기반 질의응답을 제공하는 서비스. 논문 PDF 업로드 시 메타정보 추출·요약·DB 관리.,"학술 논문(PDF 업로드), 외부 웹 검색 API — 논문 출처 사용자 지정","Python, LangChain, RAG, 벡터DB, OpenAI(gpt), 웹검색 API",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-3st-4Team
377,SK네트웍스 Family AI 캠프,16,교과목실습3,펫보험 약관 QA 챗봇,펫보험 약관 데이터에 대해 LangChain+OpenAI 기반 RAG QA를 제공하고 참조 약관·페이지를 출처로 표시하는 시스템.,펫보험 약관 문서(보험사 약관 PDF),"Python, LangChain, OpenAI API, FAISS·BM25·Chroma, Gradio, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-3rd-5Team
378,SK네트웍스 Family AI 캠프,16,교과목실습4,일기 4컷 생성 다이어리,하루 일기를 작성하면 DALL·E 3로 2x2 4컷 만화를 생성하고 생산성 점수·캘린더·차트를 제공하는 다이어리 앱.,해당 없음(사용자 일기 입력 + AI 이미지 생성),"Python, Django 4.2, OpenAI DALL·E 3, AWS S3(boto3, django-storages), SQLite/PostgreSQL",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-4th-1Team
379,SK네트웍스 Family AI 캠프,16,교과목실습4,하경은행 스마트 온보딩 플랫폼,RAG 기반 LLM 챗봇 중심의 은행 신입사원 온보딩·학습 멘토링 플랫폼. 문서 벡터 검색·추천 자료실 제공.,해당 없음(은행 온보딩 학습 문서 등 내부·업로드 문서),"FastAPI, PostgreSQL+pgvector, LangChain, OpenAI, React+TypeScript, RAG, Docker",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-4th-2Team
380,SK네트웍스 Family AI 캠프,16,교과목실습4,AI 퍼스널컬러 진단 서비스,이미지·설문 기반으로 퍼스널컬러를 진단하고 OpenAI로 분석하는 웹 애플리케이션.,해당 없음(사용자 이미지·설문 응답 기반),"Python 3.11, FastAPI, MySQL, SQLAlchemy, Alembic, OpenAI API, React+TypeScript",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-4th-3Team
381,SK네트웍스 Family AI 캠프,16,교과목실습4,노인 복지 정책 RAG 챗봇,노인·가족이 복지 정책 정보를 쉽게 찾도록 돕는 RAG 챗봇. 17개 시도별 복지 정책을 GPT-4 기반으로 안내.,노인 복지 정책 문서(정부·지자체 17개 시도 복지 정책),"Python, PostgreSQL, ChromaDB, LangChain, OpenAI GPT-4, RAG, Docker, Chart.js",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-4th-4Team
382,SK네트웍스 Family AI 캠프,16,최종프로젝트,AI 개인 건강 관리 서비스 (MediNote),진료 음성 녹음을 STT로 변환·요약하고 처방전을 OCR로 추출하며 RAG 챗봇으로 맞춤 건강 상담을 제공하는 헬스케어 플랫폼.,해당 없음(사용자 음성·처방전 이미지 등 개인 건강 기록 기반),"React, FastAPI, Python 3.11, PostgreSQL, ChromaDB, LangChain, OpenAI Whisper(STT)·GPT-4, Docker, AWS EC2",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-FINAL-1Team
383,SK네트웍스 Family AI 캠프,16,최종프로젝트,하경은행 스마트 온보딩 플랫폼(고도화),4차 온보딩 플랫폼을 확장해 관리자 대시보드에서 LLM·응답 형식을 설정하고 pgvector 기반 RAG 파이프라인을 강화한 은행 온보딩 서비스.,해당 없음(은행 온보딩 문서 JSONL 등 내부·업로드 문서),"FastAPI, PostgreSQL+pgvector, LangChain, OpenAI, React, PyPDF2, Docker, RAG",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-FINAL-3Team
384,SK네트웍스 Family AI 캠프,16,최종프로젝트,AI 퍼스널컬러 진단·뷰티 추천 서비스,컴퓨터 비전·GPT-4로 4계절 퍼스널컬러를 진단하고 맞춤형 뷰티 제품·스타일을 추천하는 웹 서비스.,해당 없음(사용자 이미지 + 자체 구축 뷰티 지식DB),"FastAPI, MySQL, SQLAlchemy, Alembic, OpenAI GPT-4, 컴퓨터비전, React, Axios",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-FINAL-4Team
385,SK네트웍스 Family AI 캠프,16,최종프로젝트,AI 기반 코딩 테스트 학습 플랫폼,"RAG 기술 문서 QA 챗봇, LangGraph 기반 AI 힌트 생성, 코딩테스트 채점을 통합한 코딩 학습 플랫폼.","Git·Python 공개 기술 문서(RAG), Tavily 웹 검색 API — 출처 성격 검토 필요","Django, React, LangGraph, LangChain, OpenAI GPT-4o, Tavily API, Docker",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN16-FINAL-6Team
386,SK네트웍스 Family AI 캠프,17,교과목실습1,"지역별 전기차 등록 현황, 충전소 정보, 보조금 정보와 FAQ를 한눈에 확인할 수 있도록 제공하는 전기차 구매 서포터 프로젝트","전기차 구매를 고려하는 사용자가 충전 인프라 부족, 지역별 보조금 편차, 차량 모델별 정보 등을 한눈에 파악하기 어렵다는 문제를 해결하려는 프로젝트입니다. 원하는 지역을 선택하면 전기차 등록 대수, 충전기 개수, 충전량 데이터를 지도와 그래프로 시각화하고, 지역·제조사·모델명에 따른 보조금 정보를 제공합니다. 또한 전기차 및 충전소 관련 FAQ를 항목별로 정리하여 제공하는 것을 목표로 합니다.",,"Python, NumPy, Pandas, MySQL, Streamlit, Selenium, GitHub, Notion, SQL, 웹 크롤링, OpenAPI",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-1st-1Team
387,SK네트웍스 Family AI 캠프,17,교과목실습1,전국 친환경차 등록현황과 전기차 충전소 인프라를 조회하고 자동차 관련 FAQ를 제공하는 시스템입니다.,"친환경차 시장은 성장하고 있지만 전기차와 하이브리드차로 세분화된 등록 정보가 제한적이고, 친환경차 데이터와 충전소 데이터가 분산되어 지역별 현황을 통합적으로 파악하기 어렵다는 문제를 다룹니다. 이 프로젝트는 지역별 전기차·하이브리드차 등록현황, 전기차 충전소 현황, 과거 5개년 등록 추이, 자동차 FAQ 조회 기능을 제공합니다. 이를 통해 친환경차 등록 현황과 충전 인프라를 통합하여 시각화하는 것을 목표로 합니다.","공공데이터포털 전국 전기차 충전소 표준데이터, 국토교통 통계누리 지역·월별 차량 등록 현황, 현대자동차 홈페이지 FAQ 크롤링 데이터, 포드자동차 홈페이지 FAQ 크롤링 데이터, 전기/하이브리드 자동차 종합정보 신규등록정보 API 데이터","Python, Streamlit, Pandas, NumPy, Matplotlib, MySQL, Jupyter Notebook, GitHub, Selenium",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-1st-2Team
388,SK네트웍스 Family AI 캠프,17,교과목실습1,연도별·지역별 친환경차 보조금과 차량 등록 현황을 비교하고 기업 FAQ를 조회할 수 있는 정보 제공 사이트를 구현한 프로젝트입니다.,"자동차 및 이륜차가 대기오염과 온실가스 배출에 영향을 주는 상황에서, 친환경차량 보조금이 친환경차량 등록에 주는 영향을 확인하고자 했습니다. 연도별·지역별 친환경차량 등록 현황과 보조금 현황을 시각화하고, 기아·현대·BMW·쉐보레·폴스타의 FAQ를 Streamlit에서 조회할 수 있도록 구현했습니다. 프로젝트 목표는 보조금과 신규 친환경 차량 등록 간 비교를 통해 친환경 차량 증가에 영향을 주는 요인을 파악하는 것입니다.","국토교통부 통계누리 자동차등록현황보고, 한국환경공단 전기승용 구매보조금 연도별 지자체별 현황, 기아·현대·BMW·쉐보레·폴스타 기업 FAQ 사이트 크롤링 데이터","Python, MySQL, GitHub, Git, Pandas, Matplotlib, Streamlit, Selenium",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-1st-3Team
389,SK네트웍스 Family AI 캠프,17,교과목실습1,전국 자동차 등록 데이터와 인구 데이터를 기반으로 지역별 차량 밀집도를 시각화하고 현대·기아 FAQ를 조회할 수 있는 플랫폼입니다.,"차량 수 증가로 인한 주차, 교통 혼잡, 충전소 부족 등의 도시 문제와 공개된 차량 등록 데이터의 직관적 분석·시각화 도구 부족을 배경으로 합니다. 차종별·등록연도별·월별 필터, 차량 밀집도 지도, 밀집도 상위 도시 및 변화 그래프, 기업별 FAQ 조회와 키워드 검색 기능을 제공합니다. 기업, 지자체, 정책 담당자 등이 차량 분포를 쉽게 조회하고 인프라나 정책 수립에 참고할 수 있는 인사이트를 제공하는 것을 목표로 합니다.","국토교통부 자동차 등록 현황 데이터, 행정안전부 주민등록 인구통계 데이터, 현대 FAQ 웹 크롤링 데이터, 기아 FAQ 웹 크롤링 데이터","Python, MySQL, Pandas, Streamlit, Git, GitHub, Selenium, Folium",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-1st-4Team
390,SK네트웍스 Family AI 캠프,17,교과목실습1,전국 시·도별·형태별 자동차 등록 현황과 전기·비전기차 등록 데이터를 통합·시각화하여 비즈니스 인사이트를 제공하는 웹 플랫폼입니다.,"분산된 자동차 등록 현황 데이터와 엑셀·PDF 중심의 자료 제공으로 인해 영업 전략 수립, 마케팅 캠페인 설계, 고객 대응 과정에서 반복 업무와 의사결정 지연이 발생하는 문제를 해결하려는 프로젝트입니다. 핵심 기능은 전국 시·도별·형태별 자동차 등록 현황 및 전기·비전기차 등록 데이터를 한곳에 모아 대시보드와 차트 형태로 제공하는 것입니다. 영업·마케팅·전략 기획팀이 데이터 중심의 비즈니스 인사이트를 빠르고 효율적으로 얻을 수 있도록 돕는 것을 목표로 합니다.",,"Streamlit, Pandas, Selenium, Openpyxl, MySQL, Git, VSCode, Notion",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-1st-5Team
391,SK네트웍스 Family AI 캠프,17,교과목실습1,차량 등록 현황 데이터를 기반으로 국산 자동차 브랜드 점유율을 시각화하고 판매량 기준 차량 순위와 FAQ를 제공하는 프로젝트,"차량 지식이 부족한 사람들이 과도한 인터넷 정보와 차량명 인지 부족으로 차량 구매 과정에서 어려움을 겪는 문제를 다룬다. 차량 구매 시 고려할 최소한의 정보를 보기 쉽게 제공하고, 국산 자동차 브랜드의 국내 시장 점유율 시각화와 기아·현대 TOP 5 차종 리스트, 브랜드별 FAQ를 제공하는 것을 목표로 한다.",,"Python, Pandas, Streamlit, Selenium, MySQL, Plotly, Git, GitHub, Discord, Notion",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-1st-6Team
392,SK네트웍스 Family AI 캠프,17,교과목실습2,Stack Overflow Annual Developer Survey 데이터를 기반으로 Stack Overflow 핵심 개발자의 이탈 가능성을 예측하고 활성화 방안을 제안하는 프로젝트입니다.,"ChatGPT와 같은 생성형 AI 도구 확산 이후 Stack Overflow의 질문·답변 수 감소와 핵심 개발자 이탈 가능성이 문제로 제시되었습니다. 프로젝트는 설문 데이터를 전처리하고 여러 머신러닝 모델을 비교해 이탈 여부를 예측하며, Feature Importance와 SHAP 분석을 통해 핵심 이탈 요인을 파악합니다. 최종적으로 Streamlit 기반 프로토타입을 구현해 사용자 입력에 따른 이탈 위험도 예측과 개인화된 커뮤니티 활동 계획 추천을 제공합니다.",Stack Overflow Annual Developer Survey 설문 데이터,"Python, NumPy, Pandas, Matplotlib, Seaborn, scikit-learn, XGBoost, CatBoost, imbalanced-learn, SMOTE, Joblib, Streamlit, SHAP, GitHub, Git",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-2nd-1Team
393,SK네트웍스 Family AI 캠프,17,교과목실습2,서울시민 도서관 이용실태 설문조사 데이터를 활용해 도서관 이용자의 이탈 가능성을 예측하는 머신러닝 프로젝트입니다.,"도서관 이용자 수 감소와 기존 이용자 이탈 방지 필요성에 주목해, 인구통계학적 특성과 도서관 이용 경험 데이터를 결합하여 이탈 요인을 분석합니다. 설문조사 데이터를 전처리하고 이탈 여부 변수를 생성한 뒤, 다양한 머신러닝 분류 모델과 스태킹 앙상블을 활용해 도서관 이용자 이탈 가능성을 예측합니다. 예측 결과를 바탕으로 도서관 서비스 개선 및 이용자 유지 전략 수립에 활용할 수 있는 인사이트 제공을 목표로 합니다.",공공데이터포털 서울특별시 서울시민의 도서관 이용실태 설문조사 데이터,"Python, NumPy, Pandas, Matplotlib, Seaborn, scikit-learn, imbalanced-learn, Joblib, GitHub, Git, StandardScaler, OneHotEncoder, ColumnTransformer, Pipeline, SMOTEENN, RandomForestClassifier, LightGBM, XGBoost, Stacking Ensemble, Logistic Regression, RidgeClassifier, SVC, ElasticNet, KNeighborsClassifier, hyperopt",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-2nd-2Team
394,SK네트웍스 Family AI 캠프,17,교과목실습2,온라인 대학교 강의 수강 데이터를 활용해 학생의 강의 이탈 여부를 예측하는 머신러닝 모델을 개발하는 프로젝트입니다.,"온라인 교육 시장은 성장하고 있지만 온라인 강의의 낮은 이수율과 학생 이탈 문제가 플랫폼 신뢰도와 비용 부담으로 이어진다고 설명합니다. 이 프로젝트는 학생 기본 정보와 일부 행동 특성 데이터를 전처리·분석하고, 여러 머신러닝 모델을 학습해 이탈 위험군을 조기 식별하는 것을 목표로 합니다.",UCI Machine Learning Repository Open University Learning Analytics Dataset(OULAD),"Python, NumPy, Pandas, Matplotlib, XGBoost, GradientBoosting, RandomForest, DecisionTree, Scikit-learn, KNN, Logistic Regression, RidgeClassifier, GridSearchCV, Polynomial Features, Stacking, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-2nd-3Team
395,SK네트웍스 Family AI 캠프,17,교과목실습2,SNS 사용자 데이터를 기반으로 페이스북 사용자 이탈 가능성을 예측하는 모델과 예측 서비스를 제공하는 프로젝트입니다.,"페이스북 이용자 감소 현상을 배경으로, SNS 사용자의 개인 특성과 이용 빈도 데이터를 분석해 페이스북 이탈 가능성을 예측하고자 합니다. 한국 미디어 패널 조사 데이터를 전처리하여 이탈 여부를 정의하고, 여러 머신러닝 모델을 비교한 뒤 최종 예측 모델을 구축했습니다. 실제 데이터 주입 시 이탈률을 예측하고, 향후 페이스북 외 다른 SNS 이탈률 분석으로 인사이트를 확장하는 것을 목표로 합니다.",미디어통계포털 한국 미디어 패널 조사 데이터셋,"Python, Pandas, NumPy, Matplotlib, Seaborn, scikit-learn, XGBoost, SMOTE, Streamlit, Git, GitHub, Visual Studio Code",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-2nd-4Team
396,SK네트웍스 Family AI 캠프,17,교과목실습2,온라인 및 오프라인 신문 구독 데이터를 분석해 구독자의 이탈 가능성을 예측하는 머신러닝 프로젝트,"전통 언론사가 디지털 미디어 확산으로 겪는 신문 구독자 감소와 구독 기반 수익 모델 약화 문제를 데이터 기반으로 해결하고자 한다. 캘리포니아 신문 구독자 데이터를 전처리·EDA하고, 여러 머신러닝 모델을 비교해 이탈 가능성이 높은 구독자를 예측한다. 최종적으로 이탈 위험 구독자를 조기에 식별해 맞춤형 할인, 콘텐츠 추천 등 유지 전략 수립에 활용하는 방향을 목표로 한다.",Kaggle Newspaper Churn Dataset,"Python, NumPy, Pandas, Matplotlib, Seaborn, scikit-learn, Streamlit, Git, GitHub, SMOTENC, GridSearchCV, XGBoost, Random Forest, Decision Tree, SVM, Gradient Boosting",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-2nd-5Team
397,SK네트웍스 Family AI 캠프,17,교과목실습2,CPS-ASEC 데이터를 활용해 민간 건강보험 이탈 여부를 예측하는 인공지능 모델 개발 프로젝트입니다.,"민간 보험 시장에서 고용 상태와 소득 수준 변화 등에 따라 발생하는 가입 해지 및 이탈 가능성을 사전에 예측하려는 프로젝트입니다. 인구통계, 경제, 고용 상태와 과거·현재 보험 가입 정보를 비교해 변화량 특징을 생성하고, XGBoost, CatBoost, LightGBM, RandomForest, Logistic Regression 모델의 성능을 비교해 최적 모델을 선정합니다. 최종적으로 보험 이탈 예측과 주요 영향 요인 분석을 통해 데이터 기반 고객 관리 및 마케팅 전략 수립을 지원하는 것을 목표로 합니다.",IPUMS CPS의 CPS-ASEC(Annual Social and Economic Supplement) 데이터,"Python, Jupyter Notebook, Pandas, NumPy, Matplotlib, Seaborn, scikit-learn, Optuna, XGBoost, CatBoost, LightGBM, RandomForest, Logistic Regression, Stratified K-Fold, Early Stopping, GitHub",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-2nd-6Team
398,SK네트웍스 Family AI 캠프,17,교과목실습3,사용자의 마케팅 기획안과 질문에 대해 스티브 잡스 페르소나 기반의 마케팅 전략 컨설팅을 제공하는 AI 챗봇 프로젝트입니다.,"기존 마케팅 컨설팅 서비스의 높은 비용 부담, 접근성 한계, 획일화된 컨설팅 문제를 해결하기 위해 개발되었습니다. 사용자가 마케팅 기획안 PDF를 업로드하거나 자연어로 질문하면, RAG 기반 문서 검색과 파인튜닝된 LLM을 활용해 학술 자료에 근거한 마케팅 전략 답변을 생성합니다. 프로젝트는 스티브 잡스의 철학과 화법을 반영한 사용자 친화적인 AI 마케팅 컨설턴트 구축을 목표로 합니다.","국내외 학술지 마케팅 논문 데이터, 스티브 잡스 키노트 및 스탠포드 연설 영상 스크립트, 공모전 및 기업 공개 마케팅 기획안 PDF 데이터","Python, Midm-2.0-Mini-Instruct, FAISS, OpenAI Embeddings, LangChain, RunPod, PyTorch, Transformers, LoRA, Gradio, Git, GitHub, Notion, Google Drive, RAG, PyMuPDF, Whisper, NLTK, LlamaParse, pymupdf4llm, Chroma",https://github.com/SKNETWORKS-FAMILY-AICAMP/SKN17-3rd-1Team
